date,teste
Gastos P&D durante,44.721359549995796
Gastos P&D durante,403.11288741492746
Gastos P&D durante,435.88989435406734
Gastos P&D durante,480.20828814171875
Gastos P&D durante,528.2685018056632
Gastos P&D durante,0.0
Gastos P&D durante,576.1944116355173
Gastos P&D durante,288.69702977342877
Gastos P&D durante,866.0254037844386
Gastos P&D durante,219.08902300206645
Gastos P&D durante,434.5262132484069
Gastos P&D durante,0.0
Gastos P&D durante,363.318042491699
Gastos P&D durante,1000.0
Gastos P&D durante,1144.7587344065125
Gastos P&D durante,408.35217643597787
Gastos P&D durante,806.2257748298549
Gastos P&D durante,583.09518948453
Gastos P&D durante,132.28756555322954
Gastos P&D durante,547.7225575051662
Gastos P&D durante,940.8715773154166
Gastos P&D durante,894.4271909999159
Gastos P&D durante,364.59586530842614
Gastos P&D durante,707.1067811865476
Gastos P&D durante,524.4044240850758
Gastos P&D durante,705.3367989832942
Gastos P&D durante,484.7679857416329
Gastos P&D durante,158.11388300841898
Gastos P&D durante,272.9468812791236
Gastos P&D durante,0.0
Gastos P&D durante,591.6079783099616
Gastos P&D durante,566.6977457163563
Gastos P&D durante,455.7960070031329
Gastos P&D durante,707.1067811865476
Gastos P&D durante,1814.3869488066762
Gastos P&D durante,0.0
Gastos P&D durante,577.9273310719956
Gastos P&D durante,1322.8756555322952
Gastos P&D durante,346.41016151377545
Gastos P&D durante,721.1102550927978
Gastos P&D durante,477.35665911349764
Gastos P&D depois,141.4213562373095
Gastos P&D depois,77.45966692414834
Gastos P&D depois,146.6287829861518
Gastos P&D depois,231.30067012440756
Gastos P&D depois,144.9137674618944
Gastos P&D depois,122.47448713915891
Gastos P&D depois,447.21359549995793
Gastos P&D depois,4.47213595499958
Gastos P&D depois,349.28498393145964
Gastos P&D depois,935.4143466934853
Gastos P&D depois,0.0
Gastos P&D depois,316.22776601683796
Gastos P&D depois,122.47448713915891
Gastos P&D depois,150.0
Gastos P&D depois,244.94897427831782
Gastos P&D depois,316.22776601683796
Gastos P&D depois,254.95097567963924
Gastos P&D depois,173.20508075688772
Gastos P&D depois,238.43238035132728
Gastos P&D depois,291.547594742265
Gastos P&D depois,264.5751311064591
Gastos P&D depois,72.4568837309472
Gastos P&D depois,0.0
Gastos P&D depois,0.0
Gastos P&D depois,458.6937976471886
Gastos P&D depois,141.4213562373095
Gastos P&D depois,1037.2767904469858
